X,Y,Z,phie,vsh,kv,sw,Facies,WellID
9900.00000,4060.00000,48.75000,0.33435,0.05325,1009.36040,0.13979,1.00000,86.00000
9900.00000,4060.00000,49.25000,0.32682,0.01851,962.20476,0.14080,1.00000,86.00000
9900.00000,4060.00000,64.25000,0.28731,0.14143,438.29688,0.37083,1.00000,86.00000
900.00000,10500.00000,33.87500,0.28151,0.23619,455.23540,0.22615,1.00000,88.00000
900.00000,10500.00000,34.37500,0.27814,0.23542,512.79442,0.16165,1.00000,88.00000
900.00000,10500.00000,34.87500,0.24654,0.17144,4388.06870,0.15912,1.00000,88.00000
4500.00000,6300.00000,32.37500,0.26900,0.20270,385.06201,0.36303,1.00000,89.00000
4500.00000,6300.00000,32.87500,0.27312,0.20192,389.57886,0.42916,1.00000,89.00000
4500.00000,6300.00000,33.37500,0.30765,0.21757,651.14272,0.36513,1.00000,89.00000
4500.00000,6300.00000,33.87500,0.38553,0.10730,5407.11080,0.22589,1.00000,89.00000
5300.00000,2100.00000,40.87500,0.21156,0.32336,34.35687,0.51681,1.00000,91.00000
5300.00000,2100.00000,41.37500,0.20858,0.34903,34.08953,0.46648,1.00000,91.00000
500.00000,10500.00000,33.25000,0.28953,0.04956,454.55753,0.36521,1.00000,92.00000
500.00000,10500.00000,33.75000,0.31374,0.02357,709.24138,0.29965,1.00000,92.00000
500.00000,10500.00000,34.25000,0.29355,0.02957,509.66358,0.23956,1.00000,92.00000
500.00000,10500.00000,34.75000,0.29948,0.09750,556.04500,0.21915,1.00000,92.00000
500.00000,10500.00000,35.25000,0.28146,0.12444,387.47599,0.23055,1.00000,92.00000
500.00000,10500.00000,35.75000,0.26871,0.14680,278.47967,0.23534,1.00000,92.00000
500.00000,10500.00000,46.25000,0.25294,0.13067,278.01676,0.40485,1.00000,92.00000
500.00000,10500.00000,53.25000,0.20908,0.25366,105.96909,0.53983,1.00000,92.00000
500.00000,10500.00000,53.75000,0.21964,0.26222,109.05536,0.47232,1.00000,92.00000
500.00000,10500.00000,54.25000,0.25096,0.20806,255.78041,0.30370,1.00000,92.00000
500.00000,10500.00000,54.75000,0.26376,0.10834,387.46848,0.48662,1.00000,92.00000
2300.00000,2940.00000,50.87500,0.35326,0.09838,464.63075,0.12038,1.00000,94.00000
2300.00000,2940.00000,51.37500,0.30066,0.10853,550.14228,0.17762,1.00000,94.00000
